time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1775582987001457200,3836.96545703125,550.1784477699548,1.6008509921940397,180,-33.43939833207634,524.3637543190271,276.1973656124016,10.267924129724028,3.216603536384129,-70.68717435202309,0
1775582988001477000,3837.9654770507814,550.1784477699548,1.5419332475039864,180,-33.43939858454711,524.3637543190271,276.1973656124016,10.231718956749853,3.1400381231255614,-70.68717408322942,0
1775582989001497300,3838.965497314453,550.1822858536616,1.572763877940416,180,-33.4393942641431,524.3675924027339,276.1973539249947,10.707239100293862,3.1180251163320567,-70.68716235663503,0.0584010612987153
1775582990001517300,3839.9655173339843,550.2376055382192,1.813821691409271,180,-33.439395616815524,524.4229120872915,276.1973543361287,11.132053596451744,3.0545395179219046,-70.68716158630285,0.010753911242530948
1775582991001536300,3840.965536376953,550.3955173334107,1.567807748341486,180,-33.43940076071749,524.580823882483,276.19736320675986,11.444956850200034,3.200474706333054,-70.68716957239779,0.31333073078422946
1775582992001557000,3841.9655568847656,550.3994308505207,1.6303016844948197,180,-33.439405190684866,524.584737399593,276.197366111012,11.784360798707992,3.2784161124677658,-70.68717232627097,0.33372087440251014
1775582993001577000,3842.965576904297,550.405913147144,1.6919256610504083,180,-33.43940780977063,524.5912196962163,276.19736253136386,11.860731021126883,3.2702634928018424,-70.68716812365302,0.05712209723924226
1775582994001596400,3843.965596435547,550.3817275650799,1.7300479828608155,180,-33.439408278884606,524.5670341141522,276.19736341482144,12.158012827013161,3.2550251157934285,-70.68716823063957,0.050568565891385496
1775582995001616100,3844.9656162109377,550.2191976392642,1.7146851160332703,180,-33.43941155246444,524.4045041883364,276.19735816398844,12.422782472288278,3.249638613881294,-70.68715950946965,0
1775582996001636900,3845.9656369628906,550.2753449268639,1.5903491561176237,180,-33.439417678372806,524.4606514759362,276.1973559742936,12.375184780872091,3.2923424392582388,-70.68715514434972,0.02525053505178337
1775582997001657300,3846.9656572265626,550.2638851515949,1.6910147720455733,180,-33.43942141664366,524.4491917006671,276.19736029443914,12.37553013085896,3.2511042217304142,-70.68716023589533,0.043066228929166145
