seconds_elapsed,latitude,longitude
727.964,33.4383,70.6601
728.964,33.4383,70.6601
729.964,33.4383,70.6601
730.964,33.4383,70.6601
731.964,33.4383,70.6601
732.964,33.4384,70.6601
733.964,33.4384,70.66
734.964,33.4384,70.66
735.964,33.4384,70.66
736.964,33.4384,70.66
737.964,33.4384,70.66
738.964,33.4384,70.66
739.9641,33.4385,70.66
740.9641,33.4385,70.6599
741.9641,33.4385,70.6599
742.9641,33.4385,70.6599
743.9641,33.4385,70.6599
763.1601,33.4384,70.6597
802.9754,33.4382,70.6587
802.9861,33.4382,70.6587
807.5818,33.4382,70.6587
808.8667,33.4383,70.6586
813.6066,33.4382,70.6585
816.3099,33.4383,70.6585
816.3191,33.4383,70.6585
839.1916,33.4383,70.6585
839.208,33.4383,70.6585
858.6144,33.4382,70.6585
870.8268,33.4383,70.6585
877.7272,33.4383,70.6585
886.6419,33.4383,70.6584
892.8211,33.4383,70.6584
901.2977,33.4383,70.6584
908.1302,33.4383,70.6584
910.7104,33.4383,70.6585
912.0189,33.4383,70.6585
916.7215,33.4383,70.6585
917.6023,33.4383,70.6585
920.2528,33.4383,70.6585
923.7899,33.4383,70.6585
929.822,33.4383,70.6585
937.6978,33.4383,70.6585
940.3227,33.4383,70.6585
947.0613,33.4383,70.6585
949.7441,33.4383,70.6585
956.6784,33.4383,70.6585
959.1971,33.4383,70.6585
965.2075,33.4382,70.6584
966.4247,33.4383,70.6585
969.2945,33.4383,70.6585
975.5464,33.4383,70.6585
1004.8926,33.4382,70.6584
1004.9043,33.4382,70.6584
1035.6839,33.4383,70.6587
1035.696,33.4383,70.6587
1072.3213,33.439,70.6688
1073.1456,33.439,70.6688
1075.608,33.439,70.6688
1086.7733,33.439,70.6688
1087.0544,33.439,70.6688
1092.9971,33.439,70.6688
1099.0206,33.439,70.6687
1099.7792,33.439,70.6688
1105.9653,33.439,70.6688
1108.767,33.439,70.6688
1108.7795,33.439,70.6688
1112.3758,33.439,70.6688
1157.1629,33.439,70.6688
1157.1928,33.439,70.6688
1160.862,33.44,70.6768
1160.8768,33.44,70.6768
1192.4578,33.4404,70.6802
1202.2614,33.4404,70.6803
1202.8481,33.4404,70.6803
1207.8531,33.4404,70.6802
1209.0663,33.4404,70.6803
1215.8219,33.4404,70.6803
1221.7908,33.4404,70.6803
1260.961,33.4404,70.6802
1260.9804,33.4404,70.6802
1297.7427,33.4404,70.6801
1297.7544,33.4404,70.6801
1301.5131,33.4383,70.691
1318.6419,33.4383,70.6909
1318.6568,33.4383,70.6909
1346.2881,33.4383,70.691
1353.2545,33.4383,70.691
1353.3313,33.4383,70.691
1359.7926,33.4383,70.691
1365.7983,33.4383,70.691
1371.8079,33.4383,70.691
1377.7852,33.4383,70.691
1386.8736,33.4383,70.691
1392.8804,33.4383,70.691
1396.2463,33.4383,70.691
1401.9087,33.4383,70.691
1401.9231,33.4383,70.691
1406.6256,33.4383,70.691
1406.6374,33.4383,70.691
1429.0829,33.4383,70.691
1435.9122,33.4384,70.6909
1439.9672,33.4384,70.6909
1440.9672,33.4384,70.6909
1441.9672,33.4383,70.691
1442.9672,33.4384,70.6909
1443.9672,33.4384,70.6909
1444.9672,33.4384,70.691
1445.9621,33.4384,70.6909
1446.9622,33.4384,70.6909
1447.9623,33.4384,70.6909
1448.9624,33.4384,70.691
1449.9625,33.4384,70.691
1450.9626,33.4383,70.691
1451.9627,33.4384,70.691
1452.9628,33.4384,70.691
1453.9629,33.4384,70.691
1454.9629,33.4384,70.6911
1455.963,33.4384,70.6911
1456.9631,33.4384,70.6911
1457.9632,33.4384,70.6911
1458.9632,33.4384,70.6911
1459.9633,33.4385,70.6911
1460.9633,33.4385,70.6912
1461.9634,33.4385,70.6912
1462.9634,33.4385,70.6911
1463.9635,33.4386,70.6911
1464.9635,33.4386,70.6911
1465.9636,33.4386,70.6911
1466.9636,33.4386,70.6911
1467.9637,33.4386,70.6911
1468.9637,33.4386,70.6911
1469.9637,33.4386,70.6911
1470.9638,33.4386,70.6911
1471.9638,33.4387,70.6911
1472.9639,33.4387,70.6911
1473.9639,33.4387,70.6911
1474.9639,33.4387,70.6911
1475.9639,33.4387,70.6911
1476.964,33.4387,70.6911
1477.964,33.4387,70.6911
1478.964,33.4387,70.6911
1479.964,33.4388,70.6911
1480.9641,33.4388,70.6911
1481.9641,33.4388,70.6911
1482.9641,33.4388,70.691
1483.9641,33.4388,70.691
1484.9641,33.4388,70.691
1485.9641,33.4388,70.691
1486.9642,33.4389,70.691
1487.9642,33.4389,70.691
1488.9642,33.4389,70.691
1489.9642,33.4389,70.691
1490.9642,33.4389,70.691
1491.9642,33.4389,70.691
1492.9643,33.4389,70.691
1493.9643,33.439,70.691
1494.9643,33.439,70.691
1495.9643,33.439,70.691
1496.9643,33.439,70.691
1497.9643,33.439,70.691
1498.9643,33.439,70.691
1499.9643,33.439,70.6909
1500.9644,33.4391,70.691
1501.9644,33.4391,70.691
1502.9644,33.4391,70.691
1503.9644,33.4391,70.691
1504.9644,33.4391,70.691
1505.9644,33.4391,70.6909
1506.9644,33.4391,70.6909
1507.9644,33.4391,70.6909
1508.9644,33.4391,70.6909
1509.9644,33.4391,70.6909
1510.9645,33.4391,70.6909
1511.9645,33.4391,70.6908
1512.9645,33.4391,70.6908
1513.9645,33.4391,70.6908
1514.9645,33.4391,70.6908
1515.9645,33.4391,70.6908
1516.9645,33.4391,70.6908
1517.9645,33.4391,70.6908
1518.9645,33.4391,70.6908
1519.9645,33.4391,70.6908
1520.9645,33.4391,70.6908
1521.9646,33.4391,70.6908
1522.9646,33.439,70.6908
1523.9646,33.439,70.6908
1524.9646,33.439,70.6908
1525.9646,33.439,70.6908
1526.9646,33.439,70.6908
1527.9646,33.439,70.6908
1528.9646,33.439,70.6908
1529.9646,33.439,70.6908
1530.9646,33.439,70.6908
1531.9646,33.439,70.6908
1532.9646,33.439,70.6908
1533.9647,33.439,70.6908
1534.9647,33.439,70.6908
1535.9647,33.439,70.6908
1536.9647,33.439,70.6908
1537.9647,33.439,70.6908
1538.9647,33.439,70.6908
1539.9647,33.439,70.6908
1540.9647,33.439,70.6908
1541.9647,33.439,70.6908
1542.9647,33.439,70.6908
1543.9647,33.439,70.6908
1544.9647,33.439,70.6908
1545.9647,33.439,70.6908
1546.9648,33.439,70.6908
1547.9648,33.439,70.6908
1548.9648,33.439,70.6908
1549.9648,33.439,70.6908
1550.9648,33.439,70.6908
1551.9648,33.439,70.6908
1552.9648,33.439,70.6908
1553.9648,33.439,70.6908
1554.9648,33.439,70.6908
1555.9648,33.439,70.6908
1556.9648,33.439,70.6908
1557.9648,33.439,70.6908
1558.9648,33.439,70.6908
1559.9649,33.439,70.6908
1560.9649,33.439,70.6908
1561.9649,33.439,70.6908
1562.9649,33.439,70.6908
1563.9649,33.439,70.6908
1564.9649,33.439,70.6908
1565.9649,33.439,70.6908
1566.9649,33.439,70.6908
1567.9649,33.439,70.6908
1568.9649,33.439,70.6908
1569.9649,33.439,70.6908
1570.9649,33.439,70.6908
1571.965,33.439,70.6908
1572.9649,33.439,70.6908
1573.9649,33.439,70.6908
1574.9649,33.4391,70.6908
1575.9649,33.4391,70.6908
1576.9649,33.4391,70.6908
1577.9649,33.4391,70.6908
1578.9649,33.4391,70.6908
1579.9648,33.4391,70.6908
1580.9648,33.4391,70.6909
