time,seconds_elapsed,dBFS
1776314269607000000,26.743,-40.96259689331055
1776314269710000000,26.846000244140626,-42.90998840332031
1776314269815000000,26.951,-37.65259552001953
1776314269920000000,27.056,-39.321983337402344
1776314270026000000,27.161999755859377,-38.6799201965332
1776314270131000000,27.267,-38.59488296508789
1776314270235000000,27.371,-36.12691879272461
1776314270340000000,27.476,-36.99430847167969
1776314270445000000,27.581,-37.92036819458008
1776314270549000000,27.685,-31.215187072753906
1776314270654000000,27.790000244140625,-24.07090187072754
1776314270759000000,27.895,-17.247093200683594
1776314270864000000,28,-15.00876522064209
1776314270969000000,28.105,-15.82136344909668
1776314271074000000,28.209999755859375,-15.262145042419434
1776314271176000000,28.312,-17.5346736907959
1776314271281000000,28.417,-21.039569854736328
1776314271386000000,28.521999755859376,-24.121883392333984
1776314271492000000,28.628,-16.618560791015625
1776314271594000000,28.729999755859374,-14.231762886047363
1776314271699000000,28.835,-16.060762405395508
1776314271801000000,28.937,-18.3144588470459
1776314271907000000,29.043,-19.463703155517578
1776314272012000000,29.148,-21.37749671936035
1776314272117000000,29.253,-22.34003448486328
1776314272222000000,29.358000244140626,-23.083255767822266
1776314272327000000,29.463,-24.45366668701172
1776314272432000000,29.568,-26.48687744140625
1776314272538000000,29.673999755859374,-30.973241806030273
1776314272642000000,29.777999755859376,-24.906320571899414
1776314272744000000,29.88,-29.245075225830078
1776314272845000000,29.981,-32.176429748535156
1776314272950000000,30.086000244140624,-35.613975524902344
1776314273055000000,30.191,-22.1229305267334
1776314273160000000,30.296,-13.372425079345703
1776314273266000000,30.401999755859375,-12.673710823059082
1776314273371000000,30.507,-15.261113166809082
1776314273476000000,30.612,-6.048251628875732
1776314273581000000,30.717,-10.574973106384277
1776314273681000000,30.817,-13.20197582244873
1776314273786000000,30.921999755859375,-8.244239807128906
1776314273891000000,31.027,-13.130921363830566
1776314273996000000,31.132,-16.856210708618164
1776314274097000000,31.233,-16.301298141479492
1776314274202000000,31.337999755859375,-13.956568717956543
1776314274308000000,31.444,-18.349515914916992
1776314274413000000,31.549,-16.995759963989258
1776314274518000000,31.654000244140626,-11.277546882629395
1776314274623000000,31.759,-14.434161186218262
1776314274728000000,31.864,-19.510107040405273
1776314274833000000,31.969,-22.861703872680664
1776314274938000000,32.073999755859376,-27.21686553955078
1776314275043000000,32.179,-30.859750747680664
1776314275148000000,32.284,-28.494169235229492
1776314275254000000,32.39000024414062,-31.99359130859375
1776314275359000000,32.495,-34.38615798950195
1776314275464000000,32.6,-36.42047882080078
1776314275569000000,32.705,-26.42533302307129
1776314275673000000,32.809,-28.311447143554688
1776314275778000000,32.91399975585937,-30.772274017333984
1776314275883000000,33.019,-32.86626434326172
1776314275989000000,33.125,-33.91082000732422
1776314276094000000,33.230000244140626,-35.082298278808594
1776314276199000000,33.335,-36.75388717651367
1776314276301000000,33.437,-34.43967056274414
1776314276407000000,33.543,-37.47109603881836
1776314276512000000,33.648,-37.795475006103516
1776314276617000000,33.753,-38.91860580444336
1776314276722000000,33.857999755859375,-34.783409118652344
1776314276824000000,33.96,-29.323841094970703
1776314276929000000,34.065,-31.190044403076172
1776314277034000000,34.16999975585937,-26.6739559173584
1776314277139000000,34.275,-28.784021377563477
1776314277244000000,34.38,-30.364580154418945
1776314277345000000,34.481,-30.30574607849121
1776314277450000000,34.585999755859376,-30.178794860839844
1776314277555000000,34.691,-32.32780456542969
1776314277660000000,34.796,-25.968643188476562
1776314277761000000,34.897,-27.994150161743164
1776314277866000000,35.00199975585937,-30.08793067932129
1776314277972000000,35.108,-31.30479621887207
1776314278077000000,35.213,-32.167686462402344
1776314278182000000,35.31800024414063,-31.60664939880371
1776314278287000000,35.423,-24.532440185546875
1776314278392000000,35.528,-26.240985870361328
1776314278497000000,35.633,-21.27435874938965
1776314278602000000,35.73799975585938,-22.654516220092773
1776314278707000000,35.843,-26.64841079711914
1776314278812000000,35.948,-28.00319480895996
1776314278917000000,36.053,-19.636493682861328
1776314279022000000,36.158000244140624,-22.39040756225586
1776314279127000000,36.263,-24.165454864501953
1776314279232000000,36.368,-26.239076614379883
1776314279338000000,36.473999755859374,-28.29803466796875
1776314279443000000,36.579,-27.01804542541504
1776314279548000000,36.684,-27.41341781616211
1776314279653000000,36.789,-28.643251419067383
1776314279758000000,36.89400024414063,-30.84955596923828
1776314279863000000,36.999,-30.993778228759766
1776314279968000000,37.104,-30.171628952026367
1776314280073000000,37.209,-32.89039611816406
1776314280178000000,37.31399975585938,-32.603572845458984
1776314280283000000,37.419,-35.66359329223633
1776314280388000000,37.524,-15.346067428588867
1776314280493000000,37.629,-19.2086124420166
1776314280598000000,37.734000244140624,-22.83498764038086
1776314280704000000,37.84,-26.687925338745117
1776314280809000000,37.945,-29.445175170898438
1776314280912000000,38.048,-31.391809463500977
1776314281017000000,38.153,-33.39265441894531
1776314281122000000,38.25799975585937,-33.623199462890625
1776314281224000000,38.36,-25.914539337158203
1776314281329000000,38.465,-26.63132095336914
1776314281434000000,38.56999975585938,-28.23541831970215
1776314281539000000,38.675,-31.122642517089844
1776314281641000000,38.777,-28.690563201904297
1776314281746000000,38.881999755859376,-26.67580795288086
1776314281851000000,38.987,-21.411901473999023
1776314281956000000,39.092,-23.102493286132812
1776314282061000000,39.197,-22.11281394958496
1776314282166000000,39.30200024414062,-21.5881290435791
1776314282271000000,39.407,-23.315893173217773
1776314282376000000,39.512,-24.522918701171875
1776314282479000000,39.615,-22.87836456298828
1776314282584000000,39.72,-25.212865829467773
1776314282689000000,39.825,-23.79920196533203
1776314282794000000,39.92999975585938,-26.187759399414062
1776314282899000000,40.035,-28.114200592041016
1776314283001000000,40.137,-20.686294555664062
1776314283106000000,40.241999755859375,-19.597854614257812
1776314283212000000,40.348,-18.748109817504883
1776314283317000000,40.453,-21.205495834350586
1776314283419000000,40.555,-23.562530517578125
1776314283524000000,40.66,-24.93259048461914
1776314283629000000,40.765,-24.545015335083008
1776314283730000000,40.86599975585938,-26.309144973754883
1776314283833000000,40.969,-25.08424186706543
1776314283938000000,41.073999755859376,-23.319406509399414
1776314284044000000,41.18,-25.005828857421875
1776314284148000000,41.284,-27.29581069946289
1776314284253000000,41.389,-29.360719680786133
1776314284358000000,41.49400024414062,-27.543804168701172
