time,seconds_elapsed,dBFS (Original),valor_normalizado (0-100)
1776314248323000000,5.459,-28.070842742919922,52.2526
1776314248439000000,5.575,-32.027835845947266,44.8423
1776314248556000000,5.692,-34.998695373535156,39.2788
1776314248673000000,5.809,-37.68461990356445,34.2489
1776314248790000000,5.926000244140625,-20.91509246826172,65.6532
1776314248890000000,6.025999755859375,-24.178743362426758,59.5414
1776314249006000000,6.142000244140625,-29.907318115234375,48.8134
1776314249123000000,6.259,-33.91218185424805,41.3135
1776314249223000000,6.359,-36.5413818359375,36.3898
1776314249323000000,6.459,-38.60359573364258,32.5279
1776314249423000000,6.559,-39.07440185546875,31.6462
1776314249523000000,6.659,-33.740753173828125,41.6346
1776314249640000000,6.776,-31.435441970825195,45.9517
1776314249740000000,6.876,-29.880077362060547,48.8645
1776314249857000000,6.993,-29.904434204101562,48.8188
1776314249957000000,7.093,-31.14629364013672,46.4932
1776314250057000000,7.193,-32.201683044433594,44.5168
1776314250173000000,7.309,-33.4305305480957,42.2155
1776314250290000000,7.425999755859375,-34.955169677734375,39.3603
1776314250407000000,7.543,-37.2462158203125,35.0699
1776314250524000000,7.66,-39.39621353149414,31.0435
1776314250640000000,7.776,-41.35364532470703,27.3779
1776314250757000000,7.893,-41.36897277832031,27.3492
1776314250857000000,7.993,-41.73115539550781,26.6709
1776314250974000000,8.110000244140625,-42.00279235839844,26.1622
1776314251090000000,8.225999755859375,-39.07206726074219,31.6506
1776314251191000000,8.327,-29.747604370117188,49.1125
1776314251291000000,8.427,-24.41214942932129,59.1043
1776314251391000000,8.527,-25.998394012451172,56.1337
1776314251491000000,8.627,-28.028427124023438,52.3320
1776314251608000000,8.744,-28.05785369873047,52.2769
1776314251708000000,8.844,-29.34790802001953,49.8610
1776314251824000000,8.96,-29.028478622436523,50.4592
1776314251941000000,9.077,-30.60886573791504,47.4996
1776314252041000000,9.177,-30.847583770751953,47.0526
1776314252141000000,9.277,-32.82280349731445,43.3536
1776314252258000000,9.393999755859374,-35.25833511352539,38.7926
1776314252375000000,9.511,-37.572914123535156,34.4580
1776314252491000000,9.627,-36.059078216552734,37.2930
1776314252591000000,9.727,-38.269065856933594,33.1544
1776314252691000000,9.827,-39.908260345458984,30.0846
1776314252792000000,9.928,-39.427452087402344,30.9850
1776314252908000000,10.044,-39.84624481201172,30.2008
1776314253008000000,10.144,-39.620121002197266,30.6242
1776314253109000000,10.245,-40.291969299316406,29.3661
1776314253209000000,10.345,-40.787452697753906,28.4382
1776314253326000000,10.462000244140626,-37.558536529541016,34.4850
1776314253443000000,10.579,-39.85626220703125,30.1820
1776314253543000000,10.679,-41.498939514160156,27.1058
1776314253643000000,10.779,-40.28722381591797,29.3750
1776314253743000000,10.879,-41.67111587524414,26.7833
1776314253860000000,10.996,-42.56883239746094,25.1022
1776314253977000000,11.113,-40.25388717651367,29.4374
1776314254077000000,11.213,-40.84271240234375,28.3347
1776314254177000000,11.313,-39.73147201538086,30.4157
1776314254294000000,11.430000244140626,-38.86320495605469,32.0417
1776314254394000000,11.529999755859375,-35.519081115722656,38.3043
1776314254494000000,11.630000244140625,-24.264461517333984,59.3808
1776314254611000000,11.747,-29.264888763427734,50.0165
1776314254711000000,11.847,-33.89203643798828,41.3512
1776314254811000000,11.947,-36.881568908691406,35.7527
1776314254928000000,12.064,-39.917091369628906,30.0681
1776314255028000000,12.164,-41.52254104614258,27.0616
1776314255132000000,12.268,-39.68110656738281,30.5100
1776314255234000000,12.369999755859375,-40.986419677734375,28.0656
1776314255336000000,12.472,-35.08042526245117,39.1257
1776314255436000000,12.572,-37.371803283691406,34.8347
1776314255537000000,12.673,-25.811302185058594,56.4841
1776314255642000000,12.777999755859375,-29.34520721435547,49.8661
1776314255747000000,12.883,-29.839387893676758,48.9407
1776314255851000000,12.987,-32.95901870727539,43.0985
1776314255952000000,13.088,-35.91790771484375,37.5574
1776314256058000000,13.193999755859375,-35.090728759765625,39.1064
1776314256163000000,13.299,-35.57579040527344,38.1981
1776314256268000000,13.404,-38.1676139831543,33.3444
1776314256371000000,13.507,-25.99701690673828,56.1363
1776314256475000000,13.611,-29.256301879882812,50.0326
1776314256579000000,13.715,-26.13189697265625,55.8837
1776314256684000000,13.82,-29.872655868530273,48.8783
1776314256785000000,13.921,-34.197784423828125,40.7787
1776314256887000000,14.023,-37.3158073425293,34.9395
1776314256992000000,14.128,-33.816139221191406,41.4934
1776314257093000000,14.229,-36.561279296875,36.3525
1776314257193000000,14.329,-38.830875396728516,32.1023
1776314257298000000,14.433999755859375,-40.60986328125,28.7707
1776314257402000000,14.537999755859374,-41.934635162353516,26.2898
1776314257507000000,14.643,-36.365692138671875,36.7188
1776314257612000000,14.748,-38.35248565673828,32.9981
1776314257717000000,14.853,-40.000667572021484,29.9116
1776314257820000000,14.956,-33.73418045043945,41.6469
1776314257925000000,15.061,-36.7076416015625,36.0784
1776314258030000000,15.166000244140625,-39.0467643737793,31.6980
1776314258131000000,15.267,-40.48492431640625,29.0047
1776314258235000000,15.371,-36.58006286621094,36.3174
1776314258340000000,15.476,-36.54281997680664,36.3871
1776314258445000000,15.581,-34.82682800292969,39.6007
1776314258549000000,15.685,-32.67188262939453,43.6362
1776314258651000000,15.787,-34.89200210571289,39.4786
1776314258756000000,15.892,-34.8980598449707,39.4673
1776314258858000000,15.993999755859376,-37.11069869995117,35.3236
1776314258964000000,16.1,-32.6689338684082,43.6418
1776314259068000000,16.204,-34.870975494384766,39.5180
1776314259169000000,16.305,-32.11609649658203,44.6771
1776314259275000000,16.411,-32.126712799072266,44.6572
1776314259380000000,16.516,-32.98078918457031,43.0577
1776314259485000000,16.621,-34.349693298339844,40.4942
1776314259585000000,16.721,-32.53181838989258,43.8985
1776314259690000000,16.825999755859375,-33.31850814819336,42.4253
1776314259795000000,16.931,-28.062273025512695,52.2687
1776314259900000000,17.036,-30.245834350585938,48.1795
1776314260005000000,17.141,-29.61344337463379,49.3638
1776314260111000000,17.247,-28.74972152709961,50.9813
1776314260214000000,17.350000244140624,-30.86505699157715,47.0199
1776314260319000000,17.455,-18.53045654296875,70.1189
1776314260424000000,17.56,-14.643603324890137,77.3979
1776314260529000000,17.665,-14.685757637023926,77.3189
1776314260633000000,17.769,-6.376187324523926,92.8803
1776314260740000000,17.876,-11.617319107055664,83.0652
1776314260845000000,17.981,-15.859992027282715,75.1199
1776314260950000000,18.086000244140624,-20.927818298339844,65.6294
1776314261055000000,18.191,-24.686805725097656,58.5899
1776314261158000000,18.294000244140626,-28.90799331665039,50.6849
1776314261263000000,18.399,-32.24635314941406,44.4331
1776314261368000000,18.504,-35.93610382080078,37.5233
1776314261469000000,18.605,-37.400970458984375,34.7800
1776314261574000000,18.710000244140623,-39.29570770263672,31.2318
1776314261679000000,18.815,-39.30382537841797,31.2166
1776314261784000000,18.92,-40.12449645996094,29.6797
1776314261887000000,19.023,-39.70164108276367,30.4716
1776314261992000000,19.128,-40.59296798706055,28.8024
1776314262098000000,19.233999755859376,-39.7938117980957,30.2990
1776314262203000000,19.339,-39.9091911315918,30.0829
1776314262308000000,19.444,-23.069040298461914,61.6195
1776314262413000000,19.549,-22.619937896728516,62.4605
1776314262518000000,19.654000244140626,-22.898923873901367,61.9381
1776314262623000000,19.759,-19.077796936035156,69.0939
1776314262728000000,19.864,-20.20398712158203,66.9849
1776314262829000000,19.965,-19.417922973632812,68.4570
1776314262934000000,20.070000244140626,-21.748428344726562,64.0926
1776314263039000000,20.175,-23.430816650390625,60.9420
1776314263144000000,20.28,-26.876863479614258,54.4886
1776314263249000000,20.385,-31.140464782714844,46.5041
1776314263354000000,20.489999755859376,-33.89339065551758,41.3487
1776314263460000000,20.596,-36.927490234375,35.6667
1776314263560000000,20.696,-38.74562454223633,32.2619
1776314263664000000,20.8,-39.821044921875,30.2480
1776314263769000000,20.905,-40.21683120727539,29.5068
1776314263870000000,21.006000244140626,-41.0746955871582,27.9003
1776314263975000000,21.111,-42.40782928466797,25.4037
1776314264080000000,21.216,-41.502464294433594,27.0992
1776314264184000000,21.32,-41.8443717956543,26.4589
1776314264289000000,21.425,-39.42843246459961,30.9832
1776314264391000000,21.527,-40.36076354980469,29.2372
1776314264496000000,21.632,-34.11245346069336,40.9385
1776314264598000000,21.734000244140624,-12.169036865234375,82.0320
1776314264701000000,21.837,-11.025713920593262,84.1731
1776314264806000000,21.942000244140626,-15.504892349243164,75.7849
1776314264912000000,22.048,-6.657567501068115,92.3533
1776314265017000000,22.153,-10.864002227783203,84.4759
1776314265122000000,22.257999755859377,-10.46764087677002,85.2182
1776314265227000000,22.363,-14.916069030761719,76.8876
1776314265328000000,22.464,-18.811859130859375,69.5919
1776314265433000000,22.569,-23.05518341064453,61.6455
1776314265538000000,22.673999755859374,-25.731365203857422,56.6338
1776314265643000000,22.779,-29.401996612548828,49.7598
1776314265746000000,22.881999755859376,-31.934627532958984,45.0169
1776314265851000000,22.987,-24.697032928466797,58.5708
1776314265956000000,23.092,-28.834936141967773,50.8217
1776314266061000000,23.197,-31.58126449584961,45.6786
1776314266162000000,23.297999755859376,-32.13252639770508,44.6463
1776314266267000000,23.403,-30.634984970092773,47.4507
1776314266369000000,23.505,-31.25202751159668,46.2952
1776314266475000000,23.611,-28.07149314880371,52.2514
1776314266580000000,23.716,-18.770376205444336,69.6696
1776314266681000000,23.817,-21.937009811401367,63.7395
1776314266786000000,23.921999755859375,-25.100662231445312,57.8149
1776314266887000000,24.023,-25.57223129272461,56.9318
1776314266992000000,24.128,-21.67367935180664,64.2326
1776314267098000000,24.233999755859376,-23.53306007385254,60.7505
1776314267198000000,24.334000244140626,-27.244001388549805,53.8010
1776314267303000000,24.439,-29.827796936035156,48.9624
1776314267407000000,24.543,-28.212955474853516,51.9865
1776314267512000000,24.648,-26.328529357910156,55.5154
1776314267617000000,24.753,-28.401636123657227,51.6331
1776314267722000000,24.857999755859375,-30.678213119506836,47.3698
1776314267828000000,24.964,-28.15353012084961,52.0978
1776314267933000000,25.069,-30.194652557373047,48.2753
1776314268033000000,25.169,-23.86466407775879,60.1295
1776314268138000000,25.273999755859375,-27.359634399414062,53.5845
1776314268241000000,25.377,-30.63384246826172,47.4529
1776314268347000000,25.483,-33.74674987792969,41.6233
1776314268452000000,25.588,-37.04896926879883,35.4392
1776314268557000000,25.693,-39.980194091796875,29.9499
1776314268662000000,25.798000244140624,-31.422399520874023,45.9761
1776314268767000000,25.903,-35.358726501464844,38.6046
1776314268872000000,26.008,-37.5092887878418,34.5772
1776314268977000000,26.113,-38.88245391845703,32.0057
1776314269083000000,26.219,-40.33157730102539,29.2919
1776314269188000000,26.324,-30.051280975341797,48.5438
1776314269293000000,26.429,-34.21864700317383,40.7396
1776314269397000000,26.533,-36.717891693115234,36.0593
1776314269501000000,26.637,-39.82399368286133,30.2424
1776314269607000000,26.743,-40.96259689331055,28.1102
1776314269710000000,26.846000244140626,-42.90998840332031,24.4633
1776314269815000000,26.951,-37.65259552001953,34.3088
1776314269920000000,27.056,-39.321983337402344,31.1826
1776314270026000000,27.161999755859377,-38.6799201965332,32.3850
1776314270131000000,27.267,-38.59488296508789,32.5442
1776314270235000000,27.371,-36.12691879272461,37.1660
1776314270340000000,27.476,-36.99430847167969,35.5416
1776314270445000000,27.581,-37.92036819458008,33.8074
1776314270549000000,27.685,-31.215187072753906,46.3642
1776314270654000000,27.790000244140625,-24.07090187072754,59.7433
1776314270759000000,27.895,-17.247093200683594,72.5223
1776314270864000000,28,-15.00876522064209,76.7140
1776314270969000000,28.105,-15.82136344909668,75.1923
1776314271074000000,28.209999755859375,-15.262145042419434,76.2395
1776314271176000000,28.312,-17.5346736907959,71.9837
1776314271281000000,28.417,-21.039569854736328,65.4201
1776314271386000000,28.521999755859376,-24.121883392333984,59.6478
1776314271492000000,28.628,-16.618560791015625,73.6993
1776314271594000000,28.729999755859374,-14.231762886047363,78.1691
1776314271699000000,28.835,-16.060762405395508,74.7439
1776314271801000000,28.937,-18.3144588470459,70.5234
1776314271907000000,29.043,-19.463703155517578,68.3712
1776314272012000000,29.148,-21.37749671936035,64.7873
1776314272117000000,29.253,-22.34003448486328,62.9847
1776314272222000000,29.358000244140626,-23.083255767822266,61.5929
1776314272327000000,29.463,-24.45366668701172,59.0265
1776314272432000000,29.568,-26.48687744140625,55.2189
1776314272538000000,29.673999755859374,-30.973241806030273,46.8173
1776314272642000000,29.777999755859376,-24.906320571899414,58.1788
1776314272744000000,29.88,-29.245075225830078,50.0536
1776314272845000000,29.981,-32.176429748535156,44.5641
1776314272950000000,30.086000244140624,-35.613975524902344,38.1266
1776314273055000000,30.191,-22.1229305267334,63.3913
1776314273160000000,30.296,-13.372425079345703,79.7784
1776314273266000000,30.401999755859375,-12.673710823059082,81.0869
1776314273371000000,30.507,-15.261113166809082,76.2414
1776314273476000000,30.612,-6.048251628875732,93.4944
1776314273581000000,30.717,-10.574973106384277,85.0172
1776314273681000000,30.817,-13.20197582244873,80.0976
1776314273786000000,30.921999755859375,-8.244239807128906,89.3820
1776314273891000000,31.027,-13.130921363830566,80.2307
1776314273996000000,31.132,-16.856210708618164,73.2543
1776314274097000000,31.233,-16.301298141479492,74.2935
1776314274202000000,31.337999755859375,-13.956568717956543,78.6845
1776314274308000000,31.444,-18.349515914916992,70.4578
1776314274413000000,31.549,-16.995759963989258,72.9930
1776314274518000000,31.654000244140626,-11.277546882629395,83.7015
1776314274623000000,31.759,-14.434161186218262,77.7901
1776314274728000000,31.864,-19.510107040405273,68.2843
1776314274833000000,31.969,-22.861703872680664,62.0078
1776314274938000000,32.073999755859376,-27.21686553955078,53.8519
1776314275043000000,32.179,-30.859750747680664,47.0298
1776314275148000000,32.284,-28.494169235229492,51.4598
1776314275254000000,32.39000024414062,-31.99359130859375,44.9065
1776314275359000000,32.495,-34.38615798950195,40.4259
1776314275464000000,32.6,-36.42047882080078,36.6162
1776314275569000000,32.705,-26.42533302307129,55.3342
1776314275673000000,32.809,-28.311447143554688,51.8020
1776314275778000000,32.91399975585937,-30.772274017333984,47.1936
1776314275883000000,33.019,-32.86626434326172,43.2722
1776314275989000000,33.125,-33.91082000732422,41.3161
1776314276094000000,33.230000244140626,-35.082298278808594,39.1222
1776314276199000000,33.335,-36.75388717651367,35.9918
1776314276301000000,33.437,-34.43967056274414,40.3257
1776314276407000000,33.543,-37.47109603881836,34.6487
1776314276512000000,33.648,-37.795475006103516,34.0413
1776314276617000000,33.753,-38.91860580444336,31.9380
1776314276722000000,33.857999755859375,-34.783409118652344,39.6820
1776314276824000000,33.96,-29.323841094970703,49.9061
1776314276929000000,34.065,-31.190044403076172,46.4113
1776314277034000000,34.16999975585937,-26.6739559173584,54.8686
1776314277139000000,34.275,-28.784021377563477,50.9170
1776314277244000000,34.38,-30.364580154418945,47.9571
1776314277345000000,34.481,-30.30574607849121,48.0673
1776314277450000000,34.585999755859376,-30.178794860839844,48.3050
1776314277555000000,34.691,-32.32780456542969,44.2806
1776314277660000000,34.796,-25.968643188476562,56.1894
1776314277761000000,34.897,-27.994150161743164,52.3962
1776314277866000000,35.00199975585937,-30.08793067932129,48.4752
1776314277972000000,35.108,-31.30479621887207,46.1964
1776314278077000000,35.213,-32.167686462402344,44.5804
1776314278182000000,35.31800024414063,-31.60664939880371,45.6311
1776314278287000000,35.423,-24.532440185546875,58.8790
1776314278392000000,35.528,-26.240985870361328,55.6794
1776314278497000000,35.633,-21.27435874938965,64.9804
1776314278602000000,35.73799975585938,-22.654516220092773,62.3958
1776314278707000000,35.843,-26.64841079711914,54.9164
1776314278812000000,35.948,-28.00319480895996,52.3793
1776314278917000000,36.053,-19.636493682861328,68.0476
1776314279022000000,36.158000244140624,-22.39040756225586,62.8904
1776314279127000000,36.263,-24.165454864501953,59.5662
1776314279232000000,36.368,-26.239076614379883,55.6830
1776314279338000000,36.473999755859374,-28.29803466796875,51.8271
1776314279443000000,36.579,-27.01804542541504,54.2242
1776314279548000000,36.684,-27.41341781616211,53.4838
1776314279653000000,36.789,-28.643251419067383,51.1807
1776314279758000000,36.89400024414063,-30.84955596923828,47.0489
1776314279863000000,36.999,-30.993778228759766,46.7788
1776314279968000000,37.104,-30.171628952026367,48.3185
1776314280073000000,37.209,-32.89039611816406,43.2270
1776314280178000000,37.31399975585938,-32.603572845458984,43.7642
1776314280283000000,37.419,-35.66359329223633,38.0336
1776314280388000000,37.524,-15.346067428588867,76.0823
1776314280493000000,37.629,-19.2086124420166,68.8489
1776314280598000000,37.734000244140624,-22.83498764038086,62.0578
1776314280704000000,37.84,-26.687925338745117,54.8424
1776314280809000000,37.945,-29.445175170898438,49.6789
1776314280912000000,38.048,-31.391809463500977,46.0334
1776314281017000000,38.153,-33.39265441894531,42.2864
1776314281122000000,38.25799975585937,-33.623199462890625,41.8547
1776314281224000000,38.36,-25.914539337158203,56.2907
1776314281329000000,38.465,-26.63132095336914,54.9484
1776314281434000000,38.56999975585938,-28.23541831970215,51.9444
1776314281539000000,38.675,-31.122642517089844,46.5375
1776314281641000000,38.777,-28.690563201904297,51.0921
1776314281746000000,38.881999755859376,-26.67580795288086,54.8651
1776314281851000000,38.987,-21.411901473999023,64.7228
1776314281956000000,39.092,-23.102493286132812,61.5569
1776314282061000000,39.197,-22.11281394958496,63.4102
1776314282166000000,39.30200024414062,-21.5881290435791,64.3928
1776314282271000000,39.407,-23.315893173217773,61.1572
1776314282376000000,39.512,-24.522918701171875,58.8968
1776314282479000000,39.615,-22.87836456298828,61.9766
1776314282584000000,39.72,-25.212865829467773,57.6048
1776314282689000000,39.825,-23.79920196533203,60.2521
1776314282794000000,39.92999975585938,-26.187759399414062,55.7791
1776314282899000000,40.035,-28.114200592041016,52.1714
1776314283001000000,40.137,-20.686294555664062,66.0817
1776314283106000000,40.241999755859375,-19.597854614257812,68.1200
1776314283212000000,40.348,-18.748109817504883,69.7113
1776314283317000000,40.453,-21.205495834350586,65.1094
1776314283419000000,40.555,-23.562530517578125,60.6953
1776314283524000000,40.66,-24.93259048461914,58.1296
1776314283629000000,40.765,-24.545015335083008,58.8554
1776314283730000000,40.86599975585938,-26.309144973754883,55.5517
1776314283833000000,40.969,-25.08424186706543,57.8456
1776314283938000000,41.073999755859376,-23.319406509399414,61.1506
1776314284044000000,41.18,-25.005828857421875,57.9925
1776314284148000000,41.284,-27.29581069946289,53.7040
1776314284253000000,41.389,-29.360719680786133,49.8371
1776314284358000000,41.49400024414062,-27.543804168701172,53.2396
1776314284463000000,41.599,-22.14383316040039,63.3521
1776314284569000000,41.705,-25.46385955810547,57.1347
1776314284674000000,41.80999975585937,-24.586305618286133,58.7781
1776314284779000000,41.915,-26.174785614013672,55.8034
1776314284884000000,42.02,-28.783824920654297,50.9174
1776314284989000000,42.125,-25.692115783691406,56.7073
1776314285094000000,42.230000244140626,-23.40129280090332,60.9973
1776314285199000000,42.335,-18.626970291137695,69.9382
1776314285305000000,42.441,-20.65577507019043,66.1388
1776314285410000000,42.54599975585938,-18.928062438964844,69.3743
1776314285515000000,42.651,-21.602201461791992,64.3665
1776314285620000000,42.756,-22.41779899597168,62.8391
1776314285724000000,42.86,-26.02360725402832,56.0865
1776314285827000000,42.963,-28.09309196472168,52.2109
1776314285932000000,43.068,-26.396570205688477,55.3880
1776314286037000000,43.173,-17.317461013793945,72.3905
1776314286142000000,43.27800024414063,-18.96922492980957,69.2972
1776314286248000000,43.384,-22.037172317504883,63.5519
1776314286353000000,43.489,-18.182737350463867,70.7701
1776314286458000000,43.59399975585937,-19.123872756958008,69.0076
1776314286563000000,43.699,-21.742080688476562,64.1045
1776314286668000000,43.804,-24.60845375061035,58.7366
1776314286773000000,43.909,-24.82952117919922,58.3226
1776314286878000000,44.014000244140625,-19.80399513244629,67.7340
1776314286983000000,44.119,-16.067235946655273,74.7318
1776314287089000000,44.225,-10.643738746643066,84.8884
1776314287194000000,44.329999755859376,-14.714627265930176,77.2648
1776314287298000000,44.433999755859375,-17.814041137695312,71.4606
1776314287403000000,44.539,-21.69634246826172,64.1902
1776314287508000000,44.644,-26.279375076293945,55.6075
1776314287611000000,44.747,-29.16225242614746,50.2087
1776314287716000000,44.852,-32.35100173950195,44.2371
1776314287820000000,44.956,-22.165802001953125,63.3110
1776314287925000000,45.061,-26.37404441833496,55.4302
1776314288030000000,45.166000244140626,-29.27560806274414,49.9964
1776314288135000000,45.271,-30.637975692749023,47.4451
1776314288240000000,45.376,-30.63664436340332,47.4476
1776314288345000000,45.481,-26.0635986328125,56.0116
1776314288450000000,45.585999755859376,-28.4307804107666,51.5786
1776314288556000000,45.692,-22.559778213500977,62.5732
1776314288661000000,45.797,-12.038723945617676,82.2760
1776314288766000000,45.90200024414062,-14.885416030883789,76.9450
1776314288871000000,46.007,-17.809186935424805,71.4697
1776314288977000000,46.113,-20.814002990722656,65.8425
1776314289082000000,46.217999755859374,-14.302154541015625,78.0373
1776314289184000000,46.32,-17.14259910583496,72.7180
1776314289290000000,46.42599975585937,-20.13693618774414,67.1105
1776314289395000000,46.531,-23.2153377532959,61.3455
1776314289500000000,46.636,-26.00423240661621,56.1228
1776314289605000000,46.741,-27.76483726501465,52.8257
1776314289707000000,46.843,-29.061298370361328,50.3978
1776314289812000000,46.948,-21.493371963500977,64.5703
1776314289917000000,47.053,-22.017990112304688,63.5878
1776314290022000000,47.158000244140624,-25.446163177490234,57.1679
1776314290127000000,47.263,-28.250564575195312,51.9160
1776314290233000000,47.369,-31.220348358154297,46.3545
1776314290338000000,47.473999755859374,-31.5760440826416,45.6884
1776314290443000000,47.579,-33.26166915893555,42.5317
1776314290548000000,47.684,-35.2415885925293,38.8239
1776314290653000000,47.789,-37.05923843383789,35.4200
1776314290758000000,47.89400024414063,-33.758544921875,41.6012
1776314290863000000,47.999,-35.2753791809082,38.7607
1776314290968000000,48.104,-34.82052230834961,39.6125
1776314291074000000,48.20999975585938,-36.67446517944336,36.1406
1776314291179000000,48.315,-31.494705200195312,45.8407
1776314291284000000,48.42,-33.23897933959961,42.5742
1776314291389000000,48.525,-27.629024505615234,53.0800
1776314291494000000,48.630000244140625,-23.441173553466797,60.9226
1776314291599000000,48.735,-26.036865234375,56.0616
1776314291705000000,48.841,-29.05958366394043,50.4010
1776314291810000000,48.945999755859376,-32.09230041503906,44.7216
1776314291915000000,49.051,-34.483619689941406,40.2434
1776314292020000000,49.156,-33.14875030517578,42.7432
1776314292125000000,49.261,-35.229759216308594,38.8461
1776314292230000000,49.36600024414062,-23.538850784301758,60.7397
1776314292335000000,49.471,-25.82297134399414,56.4622
1776314292440000000,49.576,-27.586166381835938,53.1603
1776314292545000000,49.681,-29.855398178100586,48.9107
1776314292648000000,49.784,-32.04414367675781,44.8118
1776314292753000000,49.889,-33.5917854309082,41.9135
1776314292858000000,49.99399975585938,-32.29766082763672,44.3370
1776314292961000000,50.097,-34.848819732666016,39.5595
1776314293067000000,50.203,-36.405426025390625,36.6444
1776314293172000000,50.308,-35.73580551147461,37.8984
1776314293277000000,50.413,-35.57412338256836,38.2012
1776314293382000000,50.51800024414062,-34.639015197753906,39.9524
1776314293487000000,50.623,-31.874202728271484,45.1300
1776314293592000000,50.728,-24.73078155517578,58.5076
1776314293693000000,50.829,-28.108917236328125,52.1813
1776314293798000000,50.93400024414063,-23.68046760559082,60.4745
1776314293900000000,51.036,-25.0876522064209,57.8392
1776314294005000000,51.141,-27.555944442749023,53.2169
1776314294110000000,51.246000244140625,-16.92068099975586,73.1336
1776314294215000000,51.351,-14.293841361999512,78.0529
1776314294320000000,51.456,-16.06852912902832,74.7294
1776314294425000000,51.561,-10.757647514343262,84.6751
1776314294531000000,51.667,-14.074467658996582,78.4637
1776314294636000000,51.772,-17.356075286865234,72.3182
1776314294739000000,51.875,-20.633020401000977,66.1814
1776314294845000000,51.981,-24.17156219482422,59.5548
1776314294950000000,52.08600024414063,-26.518360137939453,55.1600
1776314295055000000,52.191,-30.243135452270508,48.1846
1776314295160000000,52.296,-30.500097274780273,47.7033
1776314295265000000,52.401,-28.555587768554688,51.3448
1776314295370000000,52.50599975585938,-30.024702072143555,48.5936
1776314295475000000,52.611,-31.493507385253906,45.8430
1776314295580000000,52.716,-35.13148498535156,39.0301
1776314295681000000,52.817,-29.70035171508789,49.2010
1776314295784000000,52.92,-28.398618698120117,51.6388
1776314295889000000,53.025,-31.855772018432617,45.1646
1776314295993000000,53.129,-30.807783126831055,47.1271
1776314296098000000,53.23399975585937,-29.7604923248291,49.0884
1776314296203000000,53.339,-31.990549087524414,44.9122
1776314296308000000,53.444,-33.93031692504883,41.2796
1776314296413000000,53.549,-33.67052459716797,41.7661
1776314296519000000,53.655,-33.41950607299805,42.2362
1776314296620000000,53.756,-36.23188018798828,36.9694
1776314296726000000,53.862000244140624,-37.807579040527344,34.0186
1776314296831000000,53.967,-30.606285095214844,47.5045
1776314296936000000,54.072,-33.006813049316406,43.0090
1776314297041000000,54.177,-35.745697021484375,37.8799
1776314297146000000,54.281999755859374,-35.164527893066406,38.9682
1776314297251000000,54.387,-38.02412033081055,33.6131
1776314297357000000,54.493,-30.242223739624023,48.1863
